Wherry_exhaustion_markers,Yost_exhaustion_markers,Pace_effector_markers
CD244,KRT86,S1PR5
PDCD1,CXCL13,KLRK1
CTLA4,LAYN,CD244
GP49B,ACP5,GZMA
PTGER4,GZMB,ANXA1
CD160,GALNT2,CX3CR1
LAG3,ENTPD1,KLRG1
PTGER2,AHI1,ZEB2
CD7,TIGIT,CCL9
TNFRSF9,SOX4,KLRC1
GLYCOP,TNFRSF18,IL1RL1
VCAM1,CXCR6,KLRA9
TNFSF6,GNLY,LXN
ITM2A,VCAM1,ITGB2
MOX2,HAVCR2,SNX10
ITGAV,ITGAE,LAG3
CD9,CSF1,S100A4
CCL3,ZBED2,ISG20
CXCR4,KLRC1,TBX21
CCL4,MTSS1,RORA
CCRL2,TNFRSF9,PRF1
SMAD1,ALOX5AP,LYN
RGS16,CTSW,IFNG
GPR56,KIR2DL4,ID2
TANK,GEM,IFITM3
DUSP1,LAG3,S100A10
GPR65,GATA3,CCR2
PTPN13,LSP1,PERP
PRKWNK,NAP1L4,NRP1
IL6ST,PDE7B,S100A6
ITPR5,SQLE,ITGAX
JAK3,CARD16,SQLE
MAP3K1,SYNGR2,ITGA4
SH2D2A,CD7,LSP1
SOCS3,HLA-DQA1,ADAM8
ACTN1,ATP8B4,S100A8
ISG20,PRF1,BHLHE40
G1P2,SLA2,PDCD1
ICSBP1,SLC1A4,ANXA2
SERPINA,GOLIM4,BATF3
TCRGG-V4,IGFLR1,BRCA1
TCRB-V1,CSGALNACT1,CASP3
PBX3,HLA-DRB1,CD99
EOMES,CD9,EZH2
ATF1,SNX9,IRF4
AHR,SYTL2,LITAF
EGR2,CTSD,MPEG1
NFATC1,NELL2,PRDX4
ZFP9H1,PDE3B,RHD
HIST1H2,RALA,SNX3
BCL2,BATF,IGSF10
CASP3,PPM1G,SERPINB9
PLSCR1,AKAP5,PRDM1
GAS2,CHST12,ANXA1
CKS2,RGS2,SIVA1
CAR2,SEC14L1,GZMB
SLC12A2,GPR65,LGALS1
ART3,ID2,ATPIF1
GPD2,SLC2A8,CD48
NDUFA5,CARS,SUZ12
CYP4V3,CTLA4,F2RL3
ENTPD1,CD3D,TK1
P2RX4,CD63,LGALS3
C76628,GRAMD1A,CBX1
SFRS7,ASB2,VPS45
MTV43,MAST4,LMNB1
C79248,MT2A,BIRC5
PENK1,PGK1,ANXA4
COCH,FKBP1A,
NR4A2,DUSP4,
A43010,GNG4,
IER5,CAPG,
NR4A2,PHLDA1,
SEPTIN,RBPJ,
RCN,SAMSN1,
WBP5,HLA-DRB5,
PBEF1,MYO7A,
PPM1B,RAB27A,
DDIT4,SYTL3,
KDT1,ETV1,
TRIM47,ATP10D,
HRB,CD82,
RNF11,PKIA,
NRIP1,PTMS,
TUBB2,S100A4,
SPP1,HMOX1,
KLK6,RARRES3,
LY75,CD2,
SCL29A1,EID1,
BUB1,APLP2,
NDFIP1,PKM,
SPRED2,CAMK4,
CBX4,PTPN22,
,KRT81,
,IL2RB,
,ZNF282,
,CREBZF,
,GTF3C1,
,PRDX5,
,PRKAR1A,
